,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Bacillus,52,48,22,5,56,32,14,31,59,27,33
Neobacillus,11,12,5,3,10,9,6,10,15,2,5
Priestia,2,7,0,1,3,1,2,1,2,2,2
Lysinibacillus,4,3,3,3,7,2,4,7,4,3,2
Heyndrickxia,0,0,0,0,1,0,1,1,0,0,1
Peribacillus,2,0,2,0,3,3,3,0,3,1,0
Cytobacillus,0,0,0,0,0,0,0,0,0,0,0
Metabacillus,3,1,0,1,0,0,1,0,3,0,0
Radiobacillus,0,0,0,0,0,0,0,0,0,0,2
Virgibacillus,0,0,0,0,0,0,0,0,0,0,0
Niallia,2,2,0,0,4,0,1,2,1,2,2
Geobacillus,0,0,0,0,2,0,0,0,1,0,2
Anoxybacillus,0,0,0,0,0,0,0,0,0,0,0
Mesobacillus,0,0,0,0,0,0,0,0,0,0,0
Rossellomorea,1,1,0,1,1,0,1,0,2,0,1
Oceanobacillus,0,0,0,0,0,0,0,0,1,0,0
Paenalkalicoccus,0,0,0,0,0,0,0,0,0,0,0
Pradoshia,0,0,0,0,0,0,0,0,0,0,0
Lederbergia,0,0,0,0,0,0,0,0,0,0,0
Sutcliffiella,0,0,0,0,0,0,0,0,0,0,0
Fictibacillus,0,0,0,0,0,0,0,0,0,0,0
Lentibacillus,0,0,0,0,0,0,0,0,0,0,0
Pontibacillus,2,1,0,0,1,2,0,0,3,1,1
Caldalkalibacillus,0,0,0,0,0,0,0,0,0,0,0
Psychrobacillus,0,0,0,0,2,0,0,1,3,0,0
Fervidibacillus,0,0,0,0,0,0,0,0,0,0,0
Amphibacillus,0,0,0,0,0,0,0,0,0,0,0
Halobacillus,0,0,0,0,0,0,0,0,0,0,0
Gottfriedia,0,0,0,0,0,0,0,0,0,0,0
Ectobacillus,0,0,0,0,0,0,0,0,0,0,0
Salipaludibacillus,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,8,3,6,2,2,9,3,6,5,2,4
Cohnella,0,0,1,0,0,1,1,0,1,0,0
Brevibacillus,0,0,0,0,0,0,0,0,0,0,0
Aneurinibacillus,2,1,1,1,2,0,0,0,0,2,0
Saccharibacillus,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,12,17,7,1,16,11,5,9,25,8,6
Planococcus,1,3,1,2,2,5,1,1,3,1,1
Solibacillus,0,0,0,0,0,0,0,0,0,0,0
Rummeliibacillus,0,0,0,0,0,0,0,0,0,0,1
Staphylococcus,5,2,1,0,7,1,1,3,1,1,8
Tumebacillus,4,0,0,0,1,0,0,0,0,0,0
Kroppenstedtia,0,0,0,0,0,0,0,0,0,0,0
Polycladomyces,0,0,0,0,0,0,0,0,0,0,0
Novibacillus,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,2,0,0,0,0,1
Exiguobacterium,0,1,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,0,0,1,0,0,1,0,0
Lactiplantibacillus,0,0,0,0,0,0,0,0,0,0,1
Ligilactobacillus,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus,0,0,0,0,0,0,0,0,0,0,0
Pediococcus,0,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus,0,1,0,0,0,0,0,0,0,0,0
Weissella,1,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,1,0,0,0,0,0,0,0
Lactococcus,0,2,0,0,0,2,0,0,1,0,1
Enterococcus,0,0,0,0,0,0,0,0,0,0,0
Desemzia,0,0,0,0,0,0,0,0,0,0,0
Clostridium,12,17,5,4,15,241,118,185,14,43,84
Caloramator,0,0,0,0,0,0,0,0,0,0,0
Candidatus Arthromitus,0,0,0,0,0,0,0,0,0,0,0
Caminicella,0,0,0,0,0,0,0,0,0,0,0
Romboutsia,1,2,1,0,2,0,0,1,0,0,0
Clostridioides,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio,1,2,0,0,0,1,0,0,2,2,0
Faecalibacterium,1,0,0,0,0,0,0,0,2,1,0
Ruminococcus,1,2,0,0,0,0,0,0,0,0,0
Ruminiclostridium,0,0,0,0,0,0,0,0,0,0,0
Pseudoclostridium,0,0,0,0,0,0,0,0,0,0,0
Pusillibacter,0,0,0,0,0,0,0,0,0,0,0
Dysosmobacter,0,0,0,0,0,0,0,0,0,0,0
Mageeibacillus,0,0,0,0,0,0,0,0,0,0,0
Desulfosporosinus,0,1,0,0,0,0,1,1,1,2,0
Desulfitobacterium,1,1,0,0,0,0,1,0,0,0,0
Desulforamulus,8,2,3,0,3,0,1,4,3,1,2
Thermanaerosceptrum,0,0,0,0,0,0,0,0,0,0,0
Desulfofarcimen,0,0,0,0,0,0,0,0,0,0,0
Enterocloster,0,0,0,0,1,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0,0,0
Anaeropeptidivorans,0,0,0,0,0,0,0,0,0,0,0
Anaerocolumna,1,5,1,0,1,3,1,1,1,0,3
Butyrivibrio,0,0,0,0,0,0,0,0,0,0,0
Carboxydocella,0,0,0,0,0,0,0,0,0,0,0
Thermaerobacter,0,1,0,0,0,0,0,1,0,0,0
Aminipila,0,0,0,0,0,0,0,0,1,0,0
Desulfotomaculum,0,0,0,0,0,0,0,0,0,0,0
